file,latin_word_count_approx,cjk_character_count,combined_token_count_approx,bytes
manuscript/drafted_sections/conclusion.tex,164,0,164,1221
manuscript/drafted_sections/ethics_safety_governance.tex,487,0,487,4227
manuscript/drafted_sections/outlook_three_grand_challenges.tex,502,0,502,4790
manuscript/recovered_versions/2026-08-02_v01_initial_outline.tex,2396,0,2396,31300
manuscript/recovered_versions/2026-08-02_v02_physical_agency.tex,2382,0,2382,31091
manuscript/recovered_versions/2026-08-03_v03_outline_variant.tex,1734,0,1734,25148
manuscript/recovered_versions/2026-08-03_v04_application_landscapes.tex,1095,0,1095,14043
manuscript/recovered_versions/2026-08-04_v05_full_draft_7684w.tex,6487,0,6487,62707
manuscript/recovered_versions/2026-08-04_v06_full_draft_8869w.tex,7678,0,7678,71816
manuscript/recovered_versions/everyday_monitoring.tex,908,0,908,7853
