database,task_code,class_code,query,raw_hit_count,retrieved_records,retrieved_on,cutoff,api_url_template,union_included_with_query_tag
OpenAlex,A1,A,"""robotic ultrasound"" OR ""robot-assisted ultrasound"" OR ""robotized ultrasound"" OR ""robotised ultrasound"" OR ""autonomous ultrasound"" OR ""telerobotic ultrasound"" OR ""robotic ultrasonography"" OR ""robot-assisted ultrasonography"" OR ""robotic sonography""",573,573,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,463
Europe PMC,A1,A,"TITLE_ABS:""robotic ultrasound"" OR TITLE_ABS:""robot-assisted ultrasound"" OR TITLE_ABS:""robotized ultrasound"" OR TITLE_ABS:""robotised ultrasound"" OR TITLE_ABS:""autonomous ultrasound"" OR TITLE_ABS:""telerobotic ultrasound"" OR TITLE_ABS:""robotic ultrasonography"" OR TITLE_ABS:""robot-assisted ultrasonography"" OR TITLE_ABS:""robotic sonography""",221,221,2026-08-07,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,189
arXiv,A1,A,"((ti:""robotic ultrasound"" OR abs:""robotic ultrasound"") OR (ti:""robot-assisted ultrasound"" OR abs:""robot-assisted ultrasound"") OR (ti:""robotized ultrasound"" OR abs:""robotized ultrasound"") OR (ti:""robotised ultrasound"" OR abs:""robotised ultrasound"") OR (ti:""autonomous ultrasound"" OR abs:""autonomous ultrasound"") OR (ti:""telerobotic ultrasound"" OR abs:""telerobotic ultrasound"") OR (ti:""robotic ultrasonography"" OR abs:""robotic ultrasonography"") OR (ti:""robot-assisted ultrasonography"" OR abs:""robot-assisted ultrasonography"") OR (ti:""robotic sonography"" OR abs:""robotic sonography"")) AND submittedDate:[190001010000 TO 202608062359]",86,86,2026-08-07,2026-08-06,https://export.arxiv.org/api/query?search_query=<QUERY>,78
OpenAlex,A2,A,"""robotic endoscopy"" OR ""robotic endoscope"" OR ""robot-assisted endoscopy"" OR ""autonomous endoscopy"" OR ""endoscopic robot"" OR ""robotic capsule endoscopy"" OR ""magnetic capsule endoscopy"" OR ""robotic colonoscopy"" OR ""autonomous colonoscopy"" OR ""robotic bronchoscopy"" OR ""robot-assisted bronchoscopy""",1459,1460,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,672
Europe PMC,A2,A,"TITLE_ABS:""robotic endoscopy"" OR TITLE_ABS:""robotic endoscope"" OR TITLE_ABS:""robot-assisted endoscopy"" OR TITLE_ABS:""autonomous endoscopy"" OR TITLE_ABS:""endoscopic robot"" OR TITLE_ABS:""robotic capsule endoscopy"" OR TITLE_ABS:""magnetic capsule endoscopy"" OR TITLE_ABS:""robotic colonoscopy"" OR TITLE_ABS:""autonomous colonoscopy"" OR TITLE_ABS:""robotic bronchoscopy"" OR TITLE_ABS:""robot-assisted bronchoscopy""",448,448,2026-08-07,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,222
arXiv,A2,A,"((ti:""robotic endoscopy"" OR abs:""robotic endoscopy"") OR (ti:""robotic endoscope"" OR abs:""robotic endoscope"") OR (ti:""robot-assisted endoscopy"" OR abs:""robot-assisted endoscopy"") OR (ti:""autonomous endoscopy"" OR abs:""autonomous endoscopy"") OR (ti:""endoscopic robot"" OR abs:""endoscopic robot"") OR (ti:""robotic capsule endoscopy"" OR abs:""robotic capsule endoscopy"") OR (ti:""magnetic capsule endoscopy"" OR abs:""magnetic capsule endoscopy"") OR (ti:""robotic colonoscopy"" OR abs:""robotic colonoscopy"") OR (ti:""autonomous colonoscopy"" OR abs:""autonomous colonoscopy"") OR (ti:""robotic bronchoscopy"" OR abs:""robotic bronchoscopy"") OR (ti:""robot-assisted bronchoscopy"" OR abs:""robot-assisted bronchoscopy"")) AND submittedDate:[190001010000 TO 202608062359]",38,38,2026-08-07,2026-08-06,https://export.arxiv.org/api/query?search_query=<QUERY>,22
OpenAlex,A3,A,"""robotic optical coherence tomography"" OR ""robot-assisted optical coherence tomography"" OR ""robotic OCT"" OR ""autonomous OCT"" OR ""robotic retinal imaging"" OR ""robotic fundus imaging"" OR ""robotic ophthalmic imaging""",25,25,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,15
Europe PMC,A3,A,"TITLE_ABS:""robotic optical coherence tomography"" OR TITLE_ABS:""robot-assisted optical coherence tomography"" OR TITLE_ABS:""robotic OCT"" OR TITLE_ABS:""autonomous OCT"" OR TITLE_ABS:""robotic retinal imaging"" OR TITLE_ABS:""robotic fundus imaging"" OR TITLE_ABS:""robotic ophthalmic imaging""",13,13,2026-08-07,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,9
arXiv,A3,A,"((ti:""robotic optical coherence tomography"" OR abs:""robotic optical coherence tomography"") OR (ti:""robot-assisted optical coherence tomography"" OR abs:""robot-assisted optical coherence tomography"") OR (ti:""robotic OCT"" OR abs:""robotic OCT"") OR (ti:""autonomous OCT"" OR abs:""autonomous OCT"") OR (ti:""robotic retinal imaging"" OR abs:""robotic retinal imaging"") OR (ti:""robotic fundus imaging"" OR abs:""robotic fundus imaging"") OR (ti:""robotic ophthalmic imaging"" OR abs:""robotic ophthalmic imaging"")) AND submittedDate:[190001010000 TO 202608062359]",3,3,2026-08-07,2026-08-06,https://export.arxiv.org/api/query?search_query=<QUERY>,3
OpenAlex,A4,A,"""robotic dermoscopy"" OR ""robot-assisted dermoscopy"" OR ""robotic skin imaging"" OR ""autonomous skin imaging"" OR ""robotic total body photography"" OR ""skin scanning robot"" OR ""robotic skin examination"" || robot dermoscopy || robot skin examination || robot total body photography",182,178,2026-08-07,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,17
