source_dbs,source_ids,doi,pmid,title,year,publication_date,work_type,venue,cited_by_count,url,query_tasks,matched_tasks,included,exclusion_reason,class_code,class_en,class_zh,primary_task,task_en,task_zh,evidence_tier,abstract
OpenAlex; Europe PMC,MED:23475917; W2040921290,10.1109/tuffc.2013.2593,23475917,Robotic ultrasound systems in medicine,2013,2013-03-01,article,IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control,149,https://doi.org/10.1109/tuffc.2013.2593,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Robots ultrasound (RUS) can be defined as the combination of ultrasound imaging with a robotic system in medical interventions. With their potential for high precision, dexterity, and repeatability, robots are often uniquely suited for ultrasound integration. Although the field is relatively young, it has already generated a multitude of robotic systems for application in dozens of medical procedures. This paper reviews the robotic ultrasound systems that have been developed over the past two decades and describes their potential impact on modern medicine. The RUS projects reviewed include extracorporeal devices, needle guidance systems, and intraoperative systems."
OpenAlex; Europe PMC,W4384701644; W4384261749; MED:37541100,10.1016/j.media.2023.102878,37541100,Robotic ultrasound imaging: State-of-the-art and future perspectives,2023,2023-07-18,article,Medical Image Analysis,161,https://doi.org/10.1016/j.media.2023.102878,A1,,False,Review / meta-analysis,,,,,,,,"Ultrasound (US) is one of the most widely used modalities for clinical intervention and diagnosis due to the merits of providing non-invasive, radiation-free, and real-time images. However, free-hand US examinations are highly operator-dependent. Robotic US System (RUSS) aims at overcoming this shortcoming by offering reproducibility, while also aiming at improving dexterity, and intelligent anatomy and disease-aware imaging. In addition to enhancing diagnostic outcomes, RUSS also holds the potential to provide medical interventions for populations suffering from the shortage of experienced sonographers. In this paper, we categorize RUSS as teleoperated or autonomous. Regarding teleoperated RUSS, we summarize their technical developments, and clinical evaluations, respectively. This survey then focuses on the review of recent work on autonomous robotic US imaging. We demonstrate that machine learning and artificial intelligence present the key techniques, which enable intelligent patient and process-specific, motion and deformation-aware robotic image acquisition. We also show that the research on artificial intelligence for autonomous RUSS has directed the research community toward understanding and modeling expert sonographers' semantic reasoning and action. Here, we call this process, the recovery of the ""language of sonography"". This side result of research on autonomous robotic US acquisitions could be considered as valuable and essential as the progress made in the robotic US examination itself. This article will provide both engineers and clinicians with a comprehensive understanding of RUSS by surveying underlying techniques. Additionally, we present the challenges that the scientific community needs to face in the coming years in order to achieve its ultimate goal of developing intelligent robotic sonographer colleagues. These colleagues are expected to be capable of collaborating with human sonographers in dynamic environments to enhance both diagnostic and intraoperative imaging."
OpenAlex,W3157010837,10.1109/tmrb.2021.3072190,,An Overview of Systems and Techniques for Autonomous Robotic Ultrasound Acquisitions,2021,2021-04-09,article,IEEE Transactions on Medical Robotics and Bionics,144,https://doi.org/10.1109/tmrb.2021.3072190,A1,,False,Review / meta-analysis,,,,,,,,"Ultrasound (US) acquisition in standard clinical procedures requires manual operation of the probe based on the interpretation of the image. A robotic system for autonomous US acquisitions holds great promise to relieve the workload of sonographers, improve access to care, yield more standardized imaging results, and circumvent the need for direct patient contact. In this paper, we provide an overview of the current status of systems and techniques for autonomous robotic US acquisitions in the literature. Specifically, we first present a framework to standardize the increasing levels of autonomy in robotic ultrasonography and briefly discuss the non-autonomous and semi-autonomous systems. Then, we systematically review the existing autonomous robotic systems developed for extracorporeal US acquisitions based on the hardware components, workflow and applications. Besides, we summarize three important topics related with the autonomous US acquisitions, including the scanning path planning, contact force control and image quality optimization, and introduce current methods and techniques proposed on each topic. Finally, we discuss the challenges and provide some potential directions for future research. We believe that the presented efforts in autonomous robotic US acquisitions will pave the way for a promising future of medical care and benefit a broad spectrum of clinical procedures."
OpenAlex; Europe PMC,MED:33497322; W3125472763,10.1109/tbme.2021.3054413,33497322,Autonomic Robotic Ultrasound Imaging System Based on Reinforcement Learning,2021,2021-01-26,article,IEEE Transactions on Biomedical Engineering,94,https://doi.org/10.1109/tbme.2021.3054413,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Objective</h4>In this paper, we introduce an autonomous robotic ultrasound (US) imaging system based on reinforcement learning (RL). The proposed system and framework are committed to controlling the US probe to perform fully autonomous imaging of a soft, moving and marker-less target based only on single RGB images of the scene.<h4>Methods</h4>We propose several different approaches and methods to achieve the following objectives: real-time US probe controlling, soft surface constant force tracking and automatic imaging. First, to express the state of the robotic US imaging task, we proposed a state representation model to reduce the dimensionality of the imaging state and encode the force and US information into the scene image space. Then, an RL agent is trained by a policy gradient theorem based RL model with the single RGB image as the only observation. To achieve adaptable constant force tracking between the US probe and the soft moving target, we propose a force-to-displacement control method based on an admittance controller.<h4>Results</h4>In the simulation experiment, we verified the feasibility of the integrated method. Furthermore, we evaluated the proposed force-to-displacement method to demonstrate the safety and effectiveness of adaptable constant force tracking. Finally, we conducted phantom and volunteer experiments to verify the feasibility of the method on a real system.<h4>Conclusion</h4>The experiments indicated that our approaches were stable and feasible in the autonomic and accurate control of the US probe.<h4>Significance</h4>The proposed system has potential application value in the image-guided surgery and robotic surgery."
OpenAlex; Europe PMC,MED:28321804; W2599839468,10.1007/s11548-017-1561-1,28321804,On the reproducibility of expert-operated and robotic ultrasound acquisitions,2017,2017-03-20,article,International Journal of Computer Assisted Radiology and Surgery,73,https://doi.org/10.1007/s11548-017-1561-1,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Purpose</h4>We present the evaluation of the reproducibility of measurements performed using robotic ultrasound imaging in comparison with expert-operated sonography. Robotic imaging for interventional procedures may be a valuable contribution, but requires reproducibility for its acceptance in clinical routine. We study this by comparing repeated measurements based on robotic and expert-operated ultrasound imaging.<h4>Methods</h4>Robotic ultrasound acquisition is performed in three steps under user guidance: First, the patient is observed using a 3D camera on the robot end effector, and the user selects the region of interest. This allows for automatic planning of the robot trajectory. Next, the robot executes a sweeping motion following the planned trajectory, during which the ultrasound images and tracking data are recorded. As the robot is compliant, deviations from the path are possible, for instance due to patient motion. Finally, the ultrasound slices are compounded to create a volume. Repeated acquisitions can be performed automatically by comparing the previous and current patient surface.<h4>Results</h4>After repeated image acquisitions, the measurements based on acquisitions performed by the robotic system and expert are compared. Within our case series, the expert measured the anterior-posterior, longitudinal, transversal lengths of both of the left and right thyroid lobes on each of the 4 healthy volunteers 3 times, providing 72 measurements. Subsequently, the same procedure was performed using the robotic system resulting in a cumulative total of 144 clinically relevant measurements. Our results clearly indicated that robotic ultrasound enables more repeatable measurements.<h4>Conclusions</h4>A robotic ultrasound platform leads to more reproducible data, which is of crucial importance for planning and executing interventions."
OpenAlex,W3098362553,10.1109/tie.2020.3036215,,Automatic Force-Based Probe Positioning for Precise Robotic Ultrasound Acquisition,2020,2020-11-12,article,IEEE Transactions on Industrial Electronics,89,https://doi.org/10.1109/tie.2020.3036215,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"The correct orientation of an ultrasound (US) probe is one of the main parameters governing the US image quality. With the rise of robotic ultrasound systems (RUSS), methods that can automatically compute the orientation promise repeatable, automatic acquisition from predefined angles resulting in high-quality US imaging. In this article, we propose a method to automatically position a US probe orthogonally to the tissue surface, thereby improving sound propagation and enabling RUSS to reach predefined orientations relatively to the surface normal at the contact point. The method relies on the derivation of the underlying mechanical model. Two rotations around orthogonal axes are carried out, while the contact force is being recorded. Then, the force data are fed into the model to estimate the normal direction. Accordingly, the probe orientation can be computed without requiring visual features. The method is applicable to the convex and linear probes. It has been evaluated on a phantom with varying tilt angles and on multiple human tissues (forearm, upper arm, lower back, and leg). As a result, it has outperformed existing methods in terms of accuracy. The mean (±SD) absolute angular difference on the in-vivo tissues averaged over all anatomies and probe types is 2.9±1.6° and 2.2±1.5° on the phantom."
OpenAlex; Europe PMC,PPR:PPR610882; W4396821882; W4318756550; MED:38734697,10.1038/s41467-024-48421-y,38734697,A fully autonomous robotic ultrasound system for thyroid scanning,2024,2024-05-11,article,Nature Communications,64,https://doi.org/10.1038/s41467-024-48421-y,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"The current thyroid ultrasound relies heavily on the experience and skills of the sonographer and the expertise of the radiologist, and the process is physically and cognitively exhausting. In this paper, we report a fully autonomous robotic ultrasound system, which is able to scan thyroid regions without human assistance and identify malignant nod- ules. In this system, human skeleton point recognition, reinforcement learning, and force feedback are used to deal with the difficulties in locating thyroid targets. The orientation of the ultrasound probe is adjusted dynamically via Bayesian optimization. Experimental results on human participants demonstrated that this system can perform high-quality ultrasound scans, close to manual scans obtained by clinicians. Additionally, it has the potential to detect thyroid nodules and provide data on nodule characteristics for American College of Radiology Thyroid Imaging Reporting and Data System (ACR TI-RADS) calculation."
OpenAlex,W3159554907,10.1109/access.2021.3077037,,RobUSt–An Autonomous Robotic Ultrasound System for Medical Imaging,2021,2021-01-01,article,IEEE Access,60,https://doi.org/10.1109/access.2021.3077037,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Medical ultrasound (US) systems are widely used for the diagnosis of internal tissues. However, there are challenges associated with acquiring and interpreting US images, such as incorrect US probe placement and limited available spatial information. In this study, we expand the capabilities of medical US imaging using a robotic framework with a high level of autonomy. A 3D camera is used to capture the surface of an anthropomorphic phantom as a point cloud, which is then used for path planning and navigation of the US probe. Robotic positioning of the probe is realised using an impedance controller, which maintains stable contact with the surface during US scanning and compensates for uneven and moving surfaces. Robotic US positioning accuracy is measured to be 1.19± 0.76mm. The mean force along US probe z-direction is measured to be 6.11±1.18N on static surfaces and 6.63±2.18N on moving surfaces. Overall lowest measured force of 1.58N demonstrates constant probe-to-surface contact during scanning. Acquired US images are used for the 3D reconstruction and multi-modal visualization of the surface and the inner anatomical structures of the phantom. Finally, K-means clustering is used to segment different tissues. Best segmentation accuracy of the jugular vein according to Jaccard similarity coefficient is measured to be 0.89. With such an accuracy, this system could substantially improve autonomous US acquisition and enhance the diagnostic confidence of clinicians."
OpenAlex,W3002801921,10.1109/lra.2020.2967682,,Automatic Normal Positioning of Robotic Ultrasound Probe Based Only on Confidence Map Optimization and Force Measurement,2020,2020-01-21,article,IEEE Robotics and Automation Letters,95,https://doi.org/10.1109/lra.2020.2967682,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Acquiring good image quality is one of the main challenges for fully-automatic robot-assisted ultrasound systems (RUSS). The presented method aims at overcoming this challenge for orthopaedic applications by optimizing the orientation of the robotic ultrasound (US) probe, i.e. aligning the central axis of the US probe to the tissue's surface normal at the point of contact in order to improve sound propagation within the tissue. We first optimize the in-plane orientation of the probe by analyzing the confidence map of the US image. We then carry out a fan motion and analyze the resulting forces estimated from joint torques to align the central axis of the probe to the normal within the plane orthogonal to the initial image plane. This results in the final 3D alignment of the probe's main axis with the normal to the anatomical surface at the point of contact without using external sensors for surface reconstruction or localizing the point of contact in an anatomical atlas. The algorithm is evaluated both on a phantom and on human tissues (forearm, upper arm and lower back). The mean absolute angular difference (±STD) between true and estimated normal on stationary phantom, forearm, upper arm and lower back was 3.1 ± 1.0°, 3.7 ± 1.7°, 5.3 ± 1.3° and 6.9 ± 3.5°, respectively. In comparison, six human operators obtained errors of 3.2 ± 1.7° on the phantom. Hence the method is able to automatically position the probe normal to the scanned tissue at the point of contact and thus improve the quality of automatically acquired ultrasound images."
OpenAlex; Europe PMC,MED:22925445; W1536645843,10.1111/j.1442-2042.2012.03127.x,22925445,Robotic ultrasound probe for tumor identification in robotic partial nephrectomy: Initial series and outcomes,2012,2012-08-26,article,International Journal of Urology,79,https://doi.org/10.1111/j.1442-2042.2012.03127.x,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Objectives</h4>Accurate tumor identification during partial nephrectomy is essential for successful tumor control. Intraoperative laparoscopic ultrasonography is useful for tumor localization, but the ultrasound probe is controlled by the assistant rather than the surgeon. We evaluated our initial experience using a robotic ultrasound probe that is controlled by the console surgeon.<h4>Methods</h4>Partial nephrectomy was carried out in 22 consecutive patients between November 2010 and March 2011. A robotic ultrasound probe under console surgeon control was used in all the cases. All patients had at least 1 year follow up.<h4>Results</h4>Mean patient age was 59 years and mean tumor size was 2.7 cm. There were six hilar tumors (27%) and 21 (95%) endophytic tumors. Mean R.E.N.A.L. nephrometry score was 6.9 (range 6-9). Mean operative time was 205.7 min and mean warm ischemia time was 17.9 min (range 6-28 min). All patients had negative tumor margins and were free of disease recurrence at a mean follow up of 13 months.<h4>Conclusion</h4>The use of a robotic ultrasound probe during partial nephrectomy allows the surgeon to optimize tumor identification with maximal autonomy, and to benefit from the precision and articulation of the robotic instrument during this key step of the partial nephrectomy procedure."
