task_code,task,paper_key,title,year,doi,sources,record_urls,public_available,public_urls,screening
A1,机器人超声,doi:10.26226/morressier.5c8f909fb5d368000a26b99d,1757 - Towards Robotic Knee Arthroscopy: Creating A 3D Ultrasound Based Knee Atlas To Introduce 4D Ultrasonography As Robotic Vision Modality For Guidance,2019,10.26226/morressier.5c8f909fb5d368000a26b99d,Crossref,https://doi.org/10.26226/morressier.5c8f909fb5d368000a26b99d,no_location_identified,,precision automated title candidate; manual verification pending
A1,机器人超声,doi:10.1109/biorob.2012.6290782,3D femur reconstruction using a robotized ultrasound probe,2012,10.1109/biorob.2012.6290782,Crossref; OpenAlex,https://doi.org/10.1109/biorob.2012.6290782; https://openalex.org/W2039860748,no_location_identified,,precision automated title candidate; manual verification pending
A1,机器人超声,doi:10.1109/embc53108.2024.10781744,3D Image Reconstruction Using Force-Controlled Robot-Assisted Ultrasound Scanning.,2024,10.1109/embc53108.2024.10781744,Europe PMC,https://europepmc.org/article/MED/40039920,no_location_identified,,precision automated title candidate; manual verification pending
A1,机器人超声,doi:10.1016/j.promfg.2019.02.002,3D-printing based Transducer Holder for Robotic Assisted Ultrasound Guided HIFU,2019,10.1016/j.promfg.2019.02.002,Crossref,https://doi.org/10.1016/j.promfg.2019.02.002,no_location_identified,,precision automated title candidate; manual verification pending
A1,机器人超声,doi:10.1109/embc58623.2025.11252663,3D Reconstruction of the Kidney and Lesions from 2D Ultrasound Images Using Robotic Ultrasound Diagnostic System.,2025,10.1109/embc58623.2025.11252663,Crossref; Europe PMC,https://doi.org/10.1109/embc58623.2025.11252663; https://europepmc.org/article/MED/41336912,no_location_identified,,precision automated title candidate; manual verification pending
A1,机器人超声,doi:10.1109/irc.2019.00049,3D Ultrasound Imaging of Scoliosis with Force-Sensitive Robotic Scanning,2019,10.1109/irc.2019.00049,Crossref; OpenAlex,https://doi.org/10.1109/irc.2019.00049; https://openalex.org/W2932459557,no_location_identified,,precision automated title candidate; manual verification pending
A1,机器人超声,doi:10.1201/9781420060478-25,3G/WLAN Cross-Layer Design for Ultrasound Video Transmission in a Robotic Tele-Ultrasonography System,2008,10.1201/9781420060478-25,Crossref,https://doi.org/10.1201/9781420060478-25,no_location_identified,,precision automated title candidate; manual verification pending
A1,机器人超声,doi:10.1109/access.2020.3014999,4D Ultrasound-Based Knee Joint Atlas for Robotic Knee Arthroscopy: A Feasibility Study,2020,10.1109/access.2020.3014999,OpenAlex,https://openalex.org/W3048113092,yes,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09162020.pdf,precision automated title candidate; manual verification pending
A1,机器人超声,doi:10.3390/diagnostics13030362,5G-Based Telerobotic Ultrasound System Improves Access to Breast Examination in Rural and Remote Areas: A Prospective and Two-Scenario Study.,2023,10.3390/diagnostics13030362,Europe PMC,https://europepmc.org/article/MED/36766467,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC9913989/,precision automated title candidate; manual verification pending
A1,机器人超声,doi:10.1016/j.juro.2010.02.1058,671 HORMON RESISTANT PROSTATE CANCER TREATED BY ROBOTIC HIGH INTENSIVE ULTRASOUND,2010,10.1016/j.juro.2010.02.1058,Crossref,https://doi.org/10.1016/j.juro.2010.02.1058,no_location_identified,,precision automated title candidate; manual verification pending
