work_key,title,year,doi,source_task_codes,source_tasks,sources,record_urls,public_visible,public_available,public_urls,primary_task_code,primary_task_cn,primary_task_en,primary_assignment_rule,classification_confidence,modality_tags,carrier_tags,review_status,scope_status,exclusion_reason,evidence_level
doi:10.1002/tbio.202200015,A c<scp>able‐driven</scp> soft robotic end‐effector actuator for probe‐based confocal laser endomicroscopy: Development and preclinical validation,2022,10.1002/tbio.202200015,A10,机器人光谱/光学扫描,OpenAlex,https://openalex.org/W4291814550,1,1,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tbio.202200015,T9,通用主动扫描技术平台,Generic active-scanning technology platform,cross_cutting_modality_without_site,low,confocal_endomicroscopy,flexible_continuum_endoscope,priority_manual_review,included_title_candidate,passes_title_scope_rules,title-level candidate; full-text inclusion not completed
doi:10.1007/978-3-031-16449-1_16,Deep Regression with Spatial-Frequency Feature Coupling and Image Synthesis for Robot-Assisted Endomicroscopy,2022,10.1007/978-3-031-16449-1_16,A10,机器人光谱/光学扫描,OpenAlex,https://openalex.org/W4296193300,1,1,https://zenodo.org/record/7147878,T9,通用主动扫描技术平台,Generic active-scanning technology platform,cross_cutting_modality_without_site,low,confocal_endomicroscopy,robotic_mechatronic_carrier_unspecified,priority_manual_review,included_title_candidate,passes_title_scope_rules,title-level candidate; full-text inclusion not completed
doi:10.1007/978-3-031-51485-2_8,Robot-Assisted Optical Coherence Tomography for Automatic Wide-Field Scanning,2024,10.1007/978-3-031-51485-2_8,A5,机器人OCT,OpenAlex,https://openalex.org/W4392144468,1,0,,T9,通用主动扫描技术平台,Generic active-scanning technology platform,cross_cutting_modality_without_site,low,OCT,robotic_mechatronic_carrier_unspecified,priority_manual_review,included_title_candidate,passes_title_scope_rules,title-level candidate; full-text inclusion not completed
doi:10.1007/s11548-024-03113-2,FF-ViT: probe orientation regression for robot-assisted endomicroscopy tissue scanning,2024,10.1007/s11548-024-03113-2,A10,机器人光谱/光学扫描,Europe PMC; OpenAlex,https://europepmc.org/article/MED/38598141; https://openalex.org/W4394691934,1,1,https://link.springer.com/content/pdf/10.1007/s11548-024-03113-2.pdf; https://pmc.ncbi.nlm.nih.gov/articles/PMC11582276/,T9,通用主动扫描技术平台,Generic active-scanning technology platform,cross_cutting_modality_without_site,low,confocal_endomicroscopy,robotic_mechatronic_carrier_unspecified,priority_manual_review,included_title_candidate,passes_title_scope_rules,title-level candidate; full-text inclusion not completed
doi:10.1007/s11548-025-03353-w,Stable distance regression via spatial-frequency state space model for robot-assisted endomicroscopy.,2025,10.1007/s11548-025-03353-w,A10,机器人光谱/光学扫描,Europe PMC,https://europepmc.org/article/MED/40220066,1,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC12167353/,T9,通用主动扫描技术平台,Generic active-scanning technology platform,cross_cutting_modality_without_site,low,confocal_endomicroscopy,robotic_mechatronic_carrier_unspecified,priority_manual_review,included_title_candidate,passes_title_scope_rules,title-level candidate; full-text inclusion not completed
doi:10.1007/s11548-025-03445-7,Transformer-based robotic ultrasound 3D tracking for capsule robot in GI tract.,2025,10.1007/s11548-025-03445-7,A1+A3,机器人超声 | 磁控/主动胶囊内镜,Europe PMC,https://europepmc.org/article/MED/40490591,1,0,,T3,主动或磁控胶囊内镜,Active or magnetically controlled capsule endoscopy,title_site_rule:T3,medium,ultrasound,magnetic_active_capsule,priority_manual_review,included_title_candidate,passes_title_scope_rules,title-level candidate; full-text inclusion not completed
doi:10.1016/j.pacs.2023.100568,An umbrella-inspired snap-on robotic 3D photoacoustic endoscopic probe for augmented intragastric sensing: Proof of concept study.,2024,10.1016/j.pacs.2023.100568,A10+A2,机器人光谱/光学扫描 | 机器人胃肠内镜巡检,Europe PMC; OpenAlex,https://europepmc.org/article/MED/38312806; https://openalex.org/W4389463403,1,1,https://doi.org/10.1016/j.pacs.2023.100568; https://pmc.ncbi.nlm.nih.gov/articles/PMC10835348/,T2,胃肠柔性内镜巡检,Flexible gastrointestinal endoscopic inspection,title_site_rule:T2,high,photoacoustic,robotic_endoscope_unspecified,priority_manual_review,included_title_candidate,passes_title_scope_rules,title-level candidate; full-text inclusion not completed
doi:10.1038/s41467-024-51633-x,Motor-free telerobotic endomicroscopy for steerable and programmable imaging in complex curved and localized areas.,2024,10.1038/s41467-024-51633-x,A10,机器人光谱/光学扫描,Europe PMC; OpenAlex,https://europepmc.org/article/MED/39227604; https://openalex.org/W4402170799,1,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11372151/; https://www.nature.com/articles/s41467-024-51633-x.pdf,T9,通用主动扫描技术平台,Generic active-scanning technology platform,cross_cutting_modality_without_site,low,confocal_endomicroscopy,robotic_mechatronic_carrier_unspecified,priority_manual_review,included_title_candidate,passes_title_scope_rules,title-level candidate; full-text inclusion not completed
doi:10.1101/2024.05.21.595073,Freeform robotic optical coherence tomography beyond the optical field-of-view limit,2024,10.1101/2024.05.21.595073,A5,机器人OCT,Crossref; Europe PMC; OpenAlex,https://doi.org/10.1101/2024.05.21.595073; https://europepmc.org/article/PPR/PPR856751; https://openalex.org/W4398258337,1,1,https://www.biorxiv.org/content/biorxiv/early/2024/05/23/2024.05.21.595073.full.pdf,T9,通用主动扫描技术平台,Generic active-scanning technology platform,cross_cutting_modality_without_site,low,OCT,robotic_mechatronic_carrier_unspecified,priority_manual_review,included_title_candidate,passes_title_scope_rules,title-level candidate; full-text inclusion not completed
doi:10.1109/i2mtc48687.2022.9806615,Range extension of a scanning confocal chromatic sensor for precise robotic inline 3D measurements,2022,10.1109/i2mtc48687.2022.9806615,A10,机器人光谱/光学扫描,Crossref,https://doi.org/10.1109/i2mtc48687.2022.9806615,1,0,,T9,通用主动扫描技术平台,Generic active-scanning technology platform,cross_cutting_modality_without_site,low,confocal_endomicroscopy,robotic_mechatronic_carrier_unspecified,priority_manual_review,included_title_candidate,passes_title_scope_rules,title-level candidate; full-text inclusion not completed
