primary_task_code,primary_task_cn,modality_tag,public_visible_unique_title_candidates,public_available_location_identified
T1,超声检查与主动扫查,photoacoustic,1,1
T1,超声检查与主动扫查,ultrasound,330,138
T1,超声检查与主动扫查,white_light_RGB_video,2,1
T2,胃肠柔性内镜检查,confocal_endomicroscopy,1,0
T2,胃肠柔性内镜检查,endoscopic_imaging_unspecified,50,23
T2,胃肠柔性内镜检查,photoacoustic,1,1
T2,胃肠柔性内镜检查,ultrasound,2,1
T3,主动或磁控胶囊内镜检查,capsule_endoscopic_imaging_unspecified,235,115
T3,主动或磁控胶囊内镜检查,ultrasound,3,1
T3,主动或磁控胶囊内镜检查,white_light_RGB_video,1,1
T4,支气管镜观察与导航,bronchoscopic_imaging_unspecified,86,29
T4,支气管镜观察与导航,confocal_endomicroscopy,5,3
T5,眼科主动对准与成像,OCT,14,7
T5,眼科主动对准与成像,confocal_endomicroscopy,1,1
T5,眼科主动对准与成像,ophthalmic_imaging_unspecified,5,2
T6,皮肤与暴露组织表面成像,OCT,6,2
T6,皮肤与暴露组织表面成像,confocal_endomicroscopy,1,0
T6,皮肤与暴露组织表面成像,other_optical,1,1
T7,主动听诊与声学检查,acoustic_physiological_sound,13,5
T8,耳鼻咽喉与口腔腔道检查,OCT,1,1
T8,耳鼻咽喉与口腔腔道检查,cavity_visual_imaging_unspecified,3,0
T9,临床任务未定或跨任务采集技术,OCT,17,12
T9,临床任务未定或跨任务采集技术,Raman_DRS_spectroscopy,1,0
T9,临床任务未定或跨任务采集技术,active_sensing_modality_unspecified,44,29
T9,临床任务未定或跨任务采集技术,confocal_endomicroscopy,14,7
T9,临床任务未定或跨任务采集技术,other_optical,1,1
