study,seed_url,source_type,source_url,resolved_title,resolved_identifier,identifier_match,title_similarity,title_relation,metadata_status,response_sha256,checked_at,error,claim_boundary
A fully autonomous robotic ultrasound system for thyroid scanning,https://doi.org/10.1038/s41467-024-48421-y,Crossref DOI record,https://api.crossref.org/works/10.1038%2Fs41467-024-48421-y,A fully autonomous robotic ultrasound system for thyroid scanning,10.1038/s41467-024-48421-y,True,1.000,exact_or_close,verified_identifier,e1a0e2f2e8e730bca26db51e2543a748d592703271aa3d423dc289aa8bdadc7d,2026-09-10T08:23:22.323488+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system,https://doi.org/10.1038/s41467-025-62865-w,Crossref DOI record,https://api.crossref.org/works/10.1038%2Fs41467-025-62865-w,Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system,10.1038/s41467-025-62865-w,True,1.000,exact_or_close,verified_identifier,11fd8585c7a04f426215422f613c71e19d7d94e6a7eec173c3ca4401cd6a48c0,2026-09-10T08:23:23.488931+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,https://doi.org/10.1038/s41551-021-00753-6,Crossref DOI record,https://api.crossref.org/works/10.1038%2Fs41551-021-00753-6,Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,10.1038/s41551-021-00753-6,True,1.000,exact_or_close,verified_identifier,7a5348eac9ba59f5fdae33548fbabb9c32c306f15cd8ac531a40bee531c2e745,2026-09-10T08:23:25.920755+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Robotic optical coherence tomography retinal imaging for emergency department patients,https://pmc.ncbi.nlm.nih.gov/articles/PMC10038849/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10038849&format=json&pageSize=1&resultType=core,Robotic Optical Coherence Tomography Retinal Imaging for Emergency Department Patients: A Pilot Study for Emergency Physicians' Diagnostic Performance.,PMC10038849,True,0.735,shorthand_or_alias_reviewed,verified_identifier,0ac4bccf29b76e8098b1477db38a461f494aa519fdc8f17a60f4ddd6f65fa9ec,2026-09-10T08:23:27.592200+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy,https://pmc.ncbi.nlm.nih.gov/articles/PMC13312741/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC13312741&format=json&pageSize=1&resultType=core,Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy: a multicenter randomized controlled trial.,PMC13312741,True,0.829,shorthand_or_alias_reviewed,verified_identifier,94e9dd80f502164cf38a35735560fbbcc45c8c489a3d03b7ca9422d299bea11b,2026-09-10T08:23:29.305795+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Bimodal tactile tomography with Bayesian sequential palpation,https://pmc.ncbi.nlm.nih.gov/articles/PMC12604559/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC12604559&format=json&pageSize=1&resultType=core,Bimodal Tactile Tomography with Bayesian Sequential Palpation for Intracavitary Microstructure Profiling and Segmentation.,PMC12604559,True,0.670,shorthand_or_alias_reviewed,verified_identifier,ade2c0f302b2b86f68332405e49832c36373444a4b33ee7e31c2bdc4c5c69d5e,2026-09-10T08:23:32.680244+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
A minimally invasive robotic tissue palpation device,https://pmc.ncbi.nlm.nih.gov/articles/PMC11178256/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC11178256&format=json&pageSize=1&resultType=core,A Minimally Invasive Robotic Tissue Palpation Device.,PMC11178256,True,1.000,exact_or_close,verified_identifier,e4c378cb64435db30f77b39eb7beeebd436c24c5084c508b797b35a69ee45eba,2026-09-10T08:23:34.666345+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Automated TMS hotspot-hunting using a closed loop threshold-based algorithm,https://pubmed.ncbi.nlm.nih.gov/26385012/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A26385012&format=json&pageSize=1&resultType=core,Automated TMS hotspot-hunting using a closed loop threshold-based algorithm.,26385012,True,1.000,exact_or_close,verified_identifier,24cdacfe58dbc25f12a5f288678621a68348124653616bf60e353f3871bcefd0,2026-09-10T08:23:37.990385+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Efficient TMS-Based Motor Cortex Mapping Using Gaussian Process Active Learning,https://pmc.ncbi.nlm.nih.gov/articles/PMC8452135/,Europe PMC record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC8452135&format=json&pageSize=1&resultType=core,Efficient TMS-Based Motor Cortex Mapping Using Gaussian Process Active Learning.,PMC8452135,True,1.000,exact_or_close,verified_identifier,ad3358f7e12daf7b92e99bb405d3c389bab0de0aa8f93de7b45b460e7176102d,2026-09-10T08:23:39.693194+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
Robotic knee laxity testing reliability and normative data,https://doi.org/10.1016/j.knee.2012.10.010,Crossref DOI record,https://api.crossref.org/works/10.1016%2Fj.knee.2012.10.010,Robotic knee laxity testing: Reliability and normative data,10.1016/j.knee.2012.10.010,True,1.000,exact_or_close,verified_identifier,6a726b4b8e85e2c728e62ff133c21046ccb8b737a65f08a19552a11d3c746972,2026-09-10T08:23:40.825957+00:00,,Bibliographic identity only; numerical claims retain the manual article-level audit status.
