query_id,source,status,retrieved,total_hits,retrieval_complete,truncated_at_limit,error,started_at,completed_at
robotic-ultrasound,europepmc,ok,180,180,True,False,,2026-09-10T11:48:41.971232+00:00,2026-09-10T11:48:47.236026+00:00
robotic-ultrasound,arxiv,ok,89,89,True,False,,2026-09-10T11:48:47.646428+00:00,2026-09-10T11:48:48.648879+00:00
embodied-endoscopy,europepmc,ok,121,121,True,False,,2026-09-10T11:48:57.794189+00:00,2026-09-10T11:49:02.541241+00:00
embodied-endoscopy,arxiv,ok,25,25,True,False,,2026-09-10T11:49:02.948833+00:00,2026-09-10T11:49:03.434921+00:00
tactile-examination,europepmc,ok,31,31,True,False,,2026-09-10T11:49:08.730144+00:00,2026-09-10T11:49:12.330068+00:00
tactile-examination,arxiv,ok,7,7,True,False,,2026-09-10T11:49:12.737331+00:00,2026-09-10T11:49:13.096518+00:00
diagnostic-sampling,europepmc,ok,37,37,True,False,,2026-09-10T11:49:18.630050+00:00,2026-09-10T11:49:23.701495+00:00
diagnostic-sampling,arxiv,ok,3,3,True,False,,2026-09-10T11:49:24.107483+00:00,2026-09-10T11:49:24.440016+00:00
active-diagnostic-agents,europepmc,ok,41,41,True,False,,2026-09-10T11:49:29.241846+00:00,2026-09-10T11:49:35.039864+00:00
active-diagnostic-agents,arxiv,ok,12,12,True,False,,2026-09-10T11:49:35.449656+00:00,2026-09-10T11:49:35.891957+00:00
medical-vla,europepmc,ok,278,278,True,False,,2026-09-10T11:49:51.505983+00:00,2026-09-10T11:50:01.851410+00:00
medical-vla,arxiv,ok,19,19,True,False,,2026-09-10T11:50:02.269751+00:00,2026-09-10T11:50:02.752962+00:00
adaptive-clinical-measurement,europepmc,ok,16,16,True,False,,2026-09-10T11:50:07.510823+00:00,2026-09-10T11:50:15.809596+00:00
adaptive-clinical-measurement,arxiv,ok,0,0,True,False,,2026-09-10T11:50:16.229973+00:00,2026-09-10T11:50:16.566715+00:00
capsule-and-luminal-robots,europepmc,ok,2051,2051,True,False,,2026-09-10T11:51:52.251867+00:00,2026-09-10T11:52:26.888043+00:00
capsule-and-luminal-robots,arxiv,ok,63,63,True,False,,2026-09-10T11:52:27.662025+00:00,2026-09-10T11:52:28.372233+00:00
ophthalmic-examination,europepmc,ok,132,132,True,False,,2026-09-10T11:52:40.170240+00:00,2026-09-10T11:52:46.595960+00:00
ophthalmic-examination,arxiv,ok,25,25,True,False,,2026-09-10T11:52:47.008045+00:00,2026-09-10T11:52:47.734044+00:00
dental-examination,europepmc,ok,106,106,True,False,,2026-09-10T11:52:55.741461+00:00,2026-09-10T11:53:01.168785+00:00
dental-examination,arxiv,ok,3,3,True,False,,2026-09-10T11:53:01.582971+00:00,2026-09-10T11:53:02.016472+00:00
diagnostic-laboratory-loops,europepmc,ok,2,2,True,False,,2026-09-10T11:53:06.759086+00:00,2026-09-10T11:53:08.848746+00:00
diagnostic-laboratory-loops,arxiv,ok,0,0,True,False,,2026-09-10T11:53:09.258175+00:00,2026-09-10T11:53:09.593035+00:00
multimodal-physical-examination,europepmc,ok,24,24,True,False,,2026-09-10T11:53:14.171460+00:00,2026-09-10T11:53:18.242039+00:00
multimodal-physical-examination,arxiv,ok,1,1,True,False,,2026-09-10T11:53:18.652678+00:00,2026-09-10T11:53:18.976028+00:00
robotic-oct-and-ophthalmic-acquisition,europepmc,ok,13,13,True,False,,2026-09-10T11:53:23.204694+00:00,2026-09-10T11:53:26.102936+00:00
robotic-oct-and-ophthalmic-acquisition,arxiv,ok,3,3,True,False,,2026-09-10T11:53:26.511047+00:00,2026-09-10T11:53:26.851051+00:00
stimulation-response-mapping,europepmc,ok,291,291,True,False,,2026-09-10T11:53:43.477214+00:00,2026-09-10T11:53:51.598236+00:00
stimulation-response-mapping,arxiv,ok,105,105,True,False,,2026-09-10T11:53:52.021676+00:00,2026-09-10T11:53:52.777124+00:00
robotic-functional-examination,europepmc,ok,587,587,True,False,,2026-09-10T11:54:23.088306+00:00,2026-09-10T11:54:33.278522+00:00
robotic-functional-examination,arxiv,ok,6,6,True,False,,2026-09-10T11:54:33.719865+00:00,2026-09-10T11:54:34.156785+00:00
robotic-swabbing-and-blood-collection,europepmc,ok,843,843,True,False,,2026-09-10T11:55:10.068104+00:00,2026-09-10T11:55:24.992740+00:00
robotic-swabbing-and-blood-collection,arxiv,ok,18,18,True,False,,2026-09-10T11:55:25.412167+00:00,2026-09-10T11:55:43.100094+00:00
adaptive-microfluidic-diagnostics,europepmc,ok,220,220,True,False,,2026-09-10T11:55:58.981451+00:00,2026-09-10T11:56:05.974467+00:00
adaptive-microfluidic-diagnostics,arxiv,ok,34,34,True,False,,2026-09-10T11:56:06.389879+00:00,2026-09-10T11:56:07.785446+00:00
autonomous-assay-development,europepmc,ok,3,3,True,False,,2026-09-10T11:56:11.598365+00:00,2026-09-10T11:56:13.700947+00:00
autonomous-assay-development,arxiv,ok,6,6,True,False,,2026-09-10T11:56:14.109463+00:00,2026-09-10T11:56:15.394816+00:00
