paper_key,doi,title,year,url,sources,source_identifiers,snapshots,categories,tasks,publication_types,abstract
doi:10.1002/aisy.202500841,10.1002/aisy.202500841,Autonomous Robotic Colonoscopy: A Supervised Learning Approach for Enhanced Navigation and Collision Detection,2026,https://doi.org/10.1002/aisy.202500841,Crossref; OpenAlex,10.1002/aisy.202500841; https://openalex.org/W7128480925,multisource_preferred; openalex_legacy,Active observational sensing; 主动观察式检测,内镜搜索/自主巡检; 机器人胃肠柔性内镜巡检,"[""journal-article""]","Among conventional colonoscopy techniques, improper insertions can lead to a patient discomfort, and in severe cases, intestinal perforation. To minimize such risks, endoscopists usually should put their efforts into exercising considerable skill and caution, which requires both physical dexterity and an in‐depth understanding of colonic anatomy. Thus, it is noted that the steep learning curve associated with conventional colonoscopy remains a persistent and critical issue in clinical practice. To address these open challenges, an autonomous colonoscopy system that integrates the procedural knowledge of experienced doctors enabling to enhance safety and reduce operator dependency is proposed. The proposed system combines a motorized endoscopic platform with an AI‐based navigation module. The motorized platform employing a tendon‐driven mechanism is capable of three degrees of freedom (two rotational and one translational motions) while ensuring mechanical stability throughout the operation. The navigation system, based on supervised learning, is designed to predict target steering points and estimate collision probabilities, contributing to real‐time medical safety. Conclusively, this work presents a fully integrated autonomous colonoscopy system that demonstrates a high level of autonomy, achieving a promising average cecum‐reaching time of 3 min 36 s ± 1 min 47 s, with 90% success rate."
doi:10.1002/rcs.1510,10.1002/rcs.1510,Modeling and dynamic analysis of the worm-like part of an innovative robot applicable in colonoscopy.,2013,https://doi.org/10.1002/rcs.1510,Europe PMC,MED/23832390,multisource_preferred,Active observational sensing,机器人胃肠柔性内镜巡检,"[""Research Support, Non-U.S. Gov't"", ""Journal Article""]","Background The pathological conditions of the human colon may lead to cancer of the colon, which is one of the most common diseases of the gastrointestinal tract. Colonoscopy is the best diagnostic technique that can be used in colon cancer detection. However, many people do not accept this method due to the unpleasant experience, i.e. if it is not performed under sedation. As a result, changing the conventional colonoscopy into a robotic procedure seems beneficial. Methods In this work, a semi-autonomous device capable of propelling itself along the flexible environment has been introduced. This robot is capable of advancing along intestinal turns such as the turn between the transverse and descending colon. Control of the robot's worm-like part has been investigated via dynamic simulations as well as computer programming. Results The simulations resulted in workspace analysis of the robot. A prototype of the robot verified the performance of the computer program. Conclusion The real model revealed the applicability of the method in controlling cable-driven worm-like mechanisms."
doi:10.1002/rcs.1691,10.1002/rcs.1691,"Design, testing and modelling of a novel robotic system for trans‐oesophageal ultrasound",2015,https://doi.org/10.1002/rcs.1691,Crossref,10.1002/rcs.1691,multisource_preferred,Active observational sensing,机器人超声扫描,"[""journal-article""]","Abstract Background Trans‐oesophageal echocardiography (TOE) has been widely utilized for cardiac disease diagnosis and interventional procedure guidance. However, the TOE operator is required to manually manipulate the probe, often for long periods of time and sometimes in an X‐ray environment where there is exposure to ionizing radiation. Methods A novel robotic manipulation system for remote control of commercial TOE probes has been developed and tested. The system has four degrees of freedom (DOFs) and is characterized by a kinematic model. The accuracy of the model and the error propagation were analysed. Results The prototype system was shown to exhibit the required function in terms of the mechanical reliability and range of motion. The forward kinematic model can accurately predict the trajectory of the probe tip movement. The average point‐to‐point errors were 2.60 mm and 3.55°. Conclusions Robotic assistance provided by the proposed system may improve the TOE operating environment. The proposed forward kinematic model can be further employed for automatic control. Copyright © 2015 John Wiley & Sons, Ltd."
doi:10.1002/rcs.2461,10.1002/rcs.2461,Towards fully automated robotic platform for remote auscultation,2022,https://doi.org/10.1002/rcs.2461,Crossref,10.1002/rcs.2461,multisource_preferred,Active observational sensing,机器人听诊,"[""journal-article""]","Abstract Background Since most developed countries are facing an increase in the number of patients per healthcare worker due to a declining birth rate and an ageing population, relatively simple and safe diagnosis tasks may need to be performed using robotics and automation technologies, without specialists and hospitals. This study presents an automated robotic platform for remote auscultation, which is a highly cost‐effective screening tool for detecting abnormal clinical signs. Method The developed robotic platform is composed of a 6‐degree‐of‐freedom cooperative robotic arm, LiDAR camera, and a spring‐based mechanism holding an electric stethoscope. The platform enables autonomous stethoscope positioning based on external body information acquired using the LiDAR camera‐based multi‐way registration; the platform also ensures safe and flexible contact, maintaining the contact force within a certain range through the passive‐actuated mechanism. Results Our preliminary results confirm that the robotic platform enables estimation of the landing positions required for cardiac examinations based on the depth and landmark information of the body surface. It also handles the stethoscope while maintaining the contact force without relying on the push‐in displacement by the robotic arm. Conclusion The developed robotic platform enables the estimation of the landing positions and handling the stethoscope while maintaining the contact force, which promises the potential of automatic remote auscultation."
doi:10.1002/rcs.2526,10.1002/rcs.2526,Phantom‐based assessment of motion and needle targeting accuracy of robotic devices for magnetic resonance imaging‐guided needle biopsy,2023,https://doi.org/10.1002/rcs.2526,Crossref,10.1002/rcs.2526,multisource_preferred,Sample-based interactive diagnosis,机器人经皮/芯针活检,"[""journal-article""]",Abstract Background The current study proposes simple methods for assessing the performance of robotic devices intended for Magnetic Resonance Imaging (MRI)‐guided needle biopsy. Methods In‐house made agar‐based breast phantoms containing biopsy targets served as the main tool in the evaluation process of an MRI compatible positioning device comprising a needle navigator. The motion accuracy of mechanical stages was assessed by calliper measurements. Laboratory evaluation of needle targeting included a repeatability phantom test and a laser‐based method. The accuracy and repeatability of needle targeting was also assessed by MRI. Results The maximum error of linear motion for steps up to 10 mm was 0.1 mm. Needle navigation relative to the phantom and alignment with the various biopsy targets were performed successfully in both the laboratory and MRI settings. The proposed biopsy phantoms offered tissue‐like signal in MRI and good haptic feedback during needle insertion. Conclusions The proposed methods could be valuable in the process of validating the accuracy of MRI‐guided biopsy robotic devices in both laboratory and real environments.
doi:10.1002/rcs.2590,10.1002/rcs.2590,Development and evaluation of robot-assisted ultrasound navigation system for pedicle screw placement: An ex-vivo animal validation.,2023,https://doi.org/10.1002/rcs.2590,Europe PMC; OpenAlex,MED/37876140; https://openalex.org/W4387931854,multisource_preferred; openalex_legacy,Active observational sensing; 主动观察式检测,机器人超声; 机器人超声扫描,"[""Journal Article""]","Purpose Spinal instrumentation with pedicle screw placement (PSP) is an important surgical technique for spinal diseases. Accurate screw trajectory is a prerequisite for PSP. Ultrasound (US) imaging with robot-assisted system forms a non-radiative alternative to provide precise screw trajectory. This study reports on the development and assessment of US navigation for this application. Methods A robot-assisted US reconstruction was proposed and an automatic CT-to-US registration algorithm was investigated, allowing the registration of screw trajectories. Experiments were conducted on ex-vivo lamb spines to evaluate system performance. Results In total, 72 screw trajectories are measured, displaying an average position accuracy of 2.80 ± 1.14 mm and orientation accuracy of 1.38 ± 0.61°. Conclusion The experimental results demonstrate the feasibility of proposed US system. This work, although restricted to laboratory settings, encourages further exploration of the potential of this technology in clinical practice."
doi:10.1002/rcs.70037,10.1002/rcs.70037,Increasing Reachability in Robotic Ultrasound Through Base Placement and Tool Design.,2025,https://doi.org/10.1002/rcs.70037,Europe PMC; OpenAlex,MED/39729575; https://openalex.org/W4405839025,multisource_preferred; openalex_legacy,Active observational sensing; 主动观察式检测,机器人超声; 机器人超声扫描,"[""research-article"", ""Journal Article""]","Background Robotic ultrasound visualises internal organs in real-time for various medical applications without the harm of X-rays. The ultrasound probe is attached to the robot's end effector using custom-developed probe holders. This paper analyzes the impact of different probe holder geometries on the robot's base placement and reachability. Methods We propose a method to improve probe holder geometries and robot base placements to enhance reachability, validated using a 7-DoF serial manipulator (KUKA iiwa 7) for ultrasound scans of multiple subcutaneous body parts. Results Without additional space restrictions, the number of robot base positions with high reachability could be strongly increased with an improved probe holder geometry. Under space constraints, previously unreachable target poses became accessible by adapting the probe holder geometry. Conclusions Our method provides an automated solution for determining improved probe holder geometries, enhancing reachability to target areas, especially when the robot's placing area is limited."
doi:10.1002/rcs.70121,10.1002/rcs.70121,Low‐Complexity Robotic Device for Magnetic Resonance Imaging‐Guided Needle Biopsy,2025,https://doi.org/10.1002/rcs.70121,Crossref,10.1002/rcs.70121,multisource_preferred,Sample-based interactive diagnosis,机器人经皮/芯针活检,"[""journal-article""]","ABSTRACT Background This work presents a low‐complexity robotic device for needle‐to‐target alignment designed to streamline Magnetic Resonance Imaging (MRI)‐guided biopsy procedures while maintaining physician control over insertion. Methods The robotic device was designed with a rigid frame incorporating two linear degrees of freedom for the in‐plane alignment of a needle guide with a predefined target. Trajectory planning and automated motion execution, including image transfer and sequence triggering, were managed through a custom MRI‐integrated software interface. Preliminary evaluation of alignment accuracy was performed in an agar phantom containing 5 and 10 mm tumour mimics. Results In phantom experiments, the system consistently achieved submillimeter alignment accuracy for both the 5‐mm and 10‐mm tumour models across all trials, without any operational failures. Conclusions These preliminary findings demonstrate the feasibility of the proposed robotic device for semiautomated MRI‐guided abdominal biopsy, pending further extensive preclinical testing."
doi:10.1002/rcs.70194,10.1002/rcs.70194,Compliance Control of a Robotic Breast Ultrasound System Based on Variable Admittance Control,2026,https://doi.org/10.1002/rcs.70194,Crossref,10.1002/rcs.70194,multisource_preferred,Active observational sensing,机器人超声扫描,"[""journal-article""]","ABSTRACT Introduction In a robotic breast ultrasound (US) system (RBUS), ensuring patient safety, comfort, and high compliance is critical. Method To improve low system compliance, this study proposes a Variable Admittance Control based on the Critical Damping Ratio (VAC‐CDR). This algorithm enhances force control accuracy and compliance by adaptively adjusting damping and stiffness coefficients. Furthermore, a Breast Surface Adaptive Control Strategy (BrS‐ACS) is introduced. This strategy adjusts the alignment of the probe with the normal of the breast surface. Meanwhile, the influence of admittance parameters on compliance is experimentally analysed, with an error band used for evaluation. Results The simulation and experimental validation demonstrate that the VAC‐CDR algorithm achieves excellent compliance, robustness, and a force control precision of 0.4 N, while the BrS‐ACS ensures accurate and reliable scanning of the US probe. Conclusion This study contributes to the advancement of automated US image scanning."
doi:10.1002/rcs.70197,10.1002/rcs.70197,Adaptive Admittance Control for Robotic Ultrasound Examination Based on a Breast Biomechanical Model.,2026,https://doi.org/10.1002/rcs.70197,Europe PMC; OpenAlex,MED/42379153; https://openalex.org/W7166664677,epmc_arxiv; multisource_preferred; openalex_legacy,Active observational sensing; 主动观察式检测,机器人超声; 机器人超声扫描,"[""Journal Article""]","Background Autonomous Robotic Ultrasound Systems (ARUS) enable standardized breast cancer screening, but accurate breast localization and the nonlinear deformation of soft tissue hinder stable contact-force control. Methods We propose a framework integrating visual perception with compliant control. An adaptive gradient-based edge detector extracts the nipple position, and a Variable Damping Admittance Control based on a Breast Biomechanical Model (VDAC-BBM) is developed, which compensates for tissue deformation via a biomechanical prior and dynamically tunes the damping parameter in real time to suppress force error. Results Phantom and human experiments showed force tracking error ≤ 0.4 N, with disturbance recovery speed improved by 16.5%-21.3% over conventional admittance control across the tested target forces. Conclusion Embedding a biomechanical prior into the control strategy enhances force compliance and stability during robotic scanning of deformable soft tissue, providing a technical basis for clinical translation."
doi:10.1002/rcs.70198,10.1002/rcs.70198,Dual-Modal Safety Framework for Robotic-Assisted Bronchoscopy via Endoscopic Vision and Haptic Feedback.,2026,https://doi.org/10.1002/rcs.70198,Europe PMC,MED/42360891,multisource_preferred,Active observational sensing,机器人支气管镜搜索/导航,"[""Journal Article""]","Background Teleoperated flexible bronchoscopy lacks distal haptic feedback, increasing the risk of unobservable iatrogenic tissue trauma during endoluminal exploration. Methods This study proposes a robot-assisted bronchoscopy system integrated with a dual-modal safety framework. A visual module utilises image moments to provide predictive alerts for collision avoidance. Concurrently, a Transformer-based network estimates distal interaction torques from proximal actuation, enabling real-time haptic perception at the leader console. Results Phantom validations across fragile tissue rupture, sidewall approximation, and luminal exploration tasks demonstrated the framework's efficacy. The visual warnings helped decrease excessive force contacts, while the learning-based estimator delivered reliable distal force perception. Conclusions The proposed dual-modal teleoperated safety architecture resolves the trade-off between operational dexterity and safety in flexible bronchoscopy. By integrating predictive visual warnings and real-time haptic feedback, the system improves the operator's situational awareness, decreasing the risk of iatrogenic trauma during the operation."
doi:10.1007/978-3-030-59716-0_56,10.1007/978-3-030-59716-0_56,Automatic Probe Movement Guidance for Freehand Obstetric Ultrasound.,2020,https://doi.org/10.1007/978-3-030-59716-0_56,Europe PMC,MED/33103163,epmc_arxiv; multisource_preferred,Active observational sensing; 主动观察式检测,机器人超声; 机器人超声扫描,"[""research-article"", ""Journal Article""]","We present the first system that provides real-time probe movement guidance for acquiring standard planes in routine freehand obstetric ultrasound scanning. Such a system can contribute to the world-wide deployment of obstetric ultrasound scanning by lowering the required level of operator expertise. The system employs an artificial neural network that receives the ultrasound video signal and the motion signal of an inertial measurement unit (IMU) that is attached to the probe, and predicts a guidance signal. The network termed US-GuideNet predicts either the movement towards the standard plane position (goal prediction), or the next movement that an expert sonographer would perform (action prediction). While existing models for other ultrasound applications are trained with simulations or phantoms, we train our model with real-world ultrasound video and probe motion data from 464 routine clinical scans by 17 accredited sonographers. Evaluations for 3 standard plane types show that the model provides a useful guidance signal with an accuracy of 88.8 % for goal prediction and 90.9 % for action prediction."
doi:10.1007/978-3-031-76428-8_73,10.1007/978-3-031-76428-8_73,Comparison Between Force and Ultrasound Image-Based Controllers for Autonomous Robotic Ultrasound Acquisition in Different Tissue Types,2024,https://doi.org/10.1007/978-3-031-76428-8_73,Crossref; OpenAlex,10.1007/978-3-031-76428-8_73; https://openalex.org/W4405927504,multisource_preferred; openalex_legacy,Active observational sensing; 主动观察式检测,机器人超声; 机器人超声扫描,conference-paper,
