snapshot,inclusion_layer,category,task,paper_key,doi,title,year,source,source_identifier,url,publication_types,abstract
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1046/j.1365-2346.2001.01028.x,10.1046/j.1365-2346.2001.01028.x,Noninvasive bioelectrical neuromonitoring in anaesthesia and critical care,2001,OpenAlex,https://openalex.org/W2116807829,https://doi.org/10.1046/j.1365-2346.2001.01028.x,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1097/00003643-200112000-00001,10.1097/00003643-200112000-00001,Noninvasive bioelectrical neuromonitoring in anaesthesia and critical care,2001,OpenAlex,https://openalex.org/W4229755006,https://doi.org/10.1097/00003643-200112000-00001,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1118/1.1645680,10.1118/1.1645680,Robot-assisted 3D-TRUS guided prostate brachytherapy: System integration and validation,2004,OpenAlex,https://openalex.org/W2089919971,https://doi.org/10.1118/1.1645680,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/dspws.2006.265472,10.1109/dspws.2006.265472,Towards Medical Ultrasound Image Segmentation with Limited Prior Knowledge,2006,OpenAlex,https://openalex.org/W2150708286,https://doi.org/10.1109/dspws.2006.265472,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/robot.2006.1642334,10.1109/robot.2006.1642334,Towards ultrasound image-based visual servoing,2006,OpenAlex,https://openalex.org/W2144241942,https://doi.org/10.1109/robot.2006.1642334,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/robot.2008.4543195,10.1109/robot.2008.4543195,Image moments-based ultrasound visual servoing,2008,OpenAlex,https://openalex.org/W2136145039,https://doi.org/10.1109/robot.2008.4543195,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1117/12.772729,10.1117/12.772729,Robotically assisted ultrasound interventions,2008,OpenAlex,https://openalex.org/W2015556633,https://doi.org/10.1117/12.772729,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1118/1.3469027,10.1118/1.3469027,SU‐HH‐BRB‐09: Real‐Time Soft‐Tissue Imaging Concurrent with External Beam Radiation Therapy Delivery,2010,OpenAlex,https://openalex.org/W2075219912,https://doi.org/10.1118/1.3469027,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,title:8e3b8bf4e3380dd105a836b3695f40a47ba7aba7,,Smart Ultrasound Remote Guidance Experiment (SURGE)- Concept of Operations Evaluation for Using Remote Guidance Ultrasound for Planetary Space Flight,2010,OpenAlex,https://openalex.org/W775629046,https://openalex.org/W775629046,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1118/1.3469249,10.1118/1.3469249,TU‐D‐BRA‐03: Real‐Time‐Image Guidance in Radiation Therapy: Is There a Role for Ultrasound Imaging?,2010,OpenAlex,https://openalex.org/W2059237371,https://doi.org/10.1118/1.3469249,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/icacc.2010.5486860,10.1109/icacc.2010.5486860,The robot system of radio frequency ablation based on ultrasound navigation,2010,OpenAlex,https://openalex.org/W2060567628,https://doi.org/10.1109/icacc.2010.5486860,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1504/ijcat.2011.043886,10.1504/ijcat.2011.043886,Design of the needle-driven robot for radio frequency ablation therapy based on ultrasound navigation,2011,OpenAlex,https://openalex.org/W1977033588,https://doi.org/10.1504/ijcat.2011.043886,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/icra.2011.5979594,10.1109/icra.2011.5979594,Out-of-plane visual servoing method for tracking the carotid artery with a robot-assisted ultrasound diagnostic system,2011,OpenAlex,https://openalex.org/W2124067196,https://doi.org/10.1109/icra.2011.5979594,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,title:2481fec525a9644b8665fc8b21175524f0582500,,ROBOT CALIBRATION FOR PRECISE ULTRASOUND IMAGE ACQUISITION,2011,OpenAlex,https://openalex.org/W2741552286,https://openalex.org/W2741552286,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/biorob.2012.6290782,10.1109/biorob.2012.6290782,3D femur reconstruction using a robotized ultrasound probe,2012,OpenAlex,https://openalex.org/W2039860748,https://doi.org/10.1109/biorob.2012.6290782,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1016/s0167-8140(12)70037-3,10.1016/s0167-8140(12)70037-3,55 REAL TIME IMAGE GUIDED RADIOTHERAPY FOR PANCREATIC TUMORS – THE CONCEPT OF DUAL MODALITY MONITORING USING KV-CBCT AND ROBOT ASSISTED ULTRASOUND IMAGING,2012,OpenAlex,https://openalex.org/W1990642471,https://doi.org/10.1016/s0167-8140(12)70037-3,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1371/journal.pntd.0001444,10.1371/journal.pntd.0001444,"Early Diagnosis, Treatment and Follow-Up of Cystic Echinococcosis in Remote Rural Areas in Patagonia: Impact of Ultrasound Training of Non-Specialists",2012,OpenAlex,https://openalex.org/W2093734023,https://doi.org/10.1371/journal.pntd.0001444,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1111/j.1442-2042.2012.03127.x,10.1111/j.1442-2042.2012.03127.x,Robotic ultrasound probe for tumor identification in robotic partial nephrectomy: Initial series and outcomes,2012,OpenAlex,https://openalex.org/W1536645843,https://doi.org/10.1111/j.1442-2042.2012.03127.x,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1007/978-3-642-33418-4_67,10.1007/978-3-642-33418-4_67,Ultrasound and Fluoroscopic Images Fusion by Autonomous Ultrasound Probe Detection,2012,OpenAlex,https://openalex.org/W171975517,https://doi.org/10.1007/978-3-642-33418-4_67,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1186/1475-925x-12-47,10.1186/1475-925x-12-47,An optical tracker based robot registration and servoing method for ultrasound guided percutaneous renal access,2013,OpenAlex,https://openalex.org/W2138818392,https://doi.org/10.1186/1475-925x-12-47,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,title:fd2d758a9ec3561632bbae7760ea0c0b0fd47b7e,,An optical tracker based robot registration and servoing method for ultrasound guided percutaneous renal access,2013,OpenAlex,https://openalex.org/W2424230771,https://openalex.org/W2424230771,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1089/end.2012.0528,10.1089/end.2012.0528,Comparison of Robotic and Laparoscopic Ultrasound Probes for Robotic Partial Nephrectomy,2013,OpenAlex,https://openalex.org/W2072746638,https://doi.org/10.1089/end.2012.0528,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/robotica.2013.6623525,10.1109/robotica.2013.6623525,On the development and simulation of a robotic ultrasound guided system for orthopedic surgical procedures,2013,OpenAlex,https://openalex.org/W2040623768,https://doi.org/10.1109/robotica.2013.6623525,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.14326/abe.2.117,10.14326/abe.2.117,Position Control of Ultrasound Transducer by Parallel Link Robot for Ultrasonic Therapy in Blood Vessel,2013,OpenAlex,https://openalex.org/W2010950089,https://doi.org/10.14326/abe.2.117,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1016/j.procir.2013.01.020,10.1016/j.procir.2013.01.020,Robotic Ultrasound Guidance by B-scan Plane Positioning Control,2013,OpenAlex,https://openalex.org/W1988346369,https://doi.org/10.1016/j.procir.2013.01.020,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/tbme.2013.2241430,10.1109/tbme.2013.2241430,Ultrasound Probe and Needle-Guide Calibration for Robotic Ultrasound Scanning and Needle Targeting,2013,OpenAlex,https://openalex.org/W2172221059,https://doi.org/10.1109/tbme.2013.2241430,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.14326/abe.3.130,10.14326/abe.3.130,Patient-mounted Robot for 2D Ultrasound Probe Scanning using McKibben Artificial Muscles,2014,OpenAlex,https://openalex.org/W2054908833,https://doi.org/10.14326/abe.3.130,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/tuffc.2015.2499084,10.1109/tuffc.2015.2499084,A Robotic Ultrasound Scanner for Automatic Vessel Tracking and Three-Dimensional Reconstruction of B-Mode Images,2015,OpenAlex,https://openalex.org/W2215544116,https://doi.org/10.1109/tuffc.2015.2499084,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1007/978-3-319-24553-9_31,10.1007/978-3-319-24553-9_31,Autonomous Ultrasound-Guided Tissue Dissection,2015,OpenAlex,https://openalex.org/W2296080951,https://doi.org/10.1007/978-3-319-24553-9_31,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1117/12.2084529,10.1117/12.2084529,Co-robotic ultrasound tomography: dual arm setup and error analysis,2015,OpenAlex,https://openalex.org/W2008569329,https://doi.org/10.1117/12.2084529,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,title:73fe0f526a68a00896eb7d4915ed25dbae621904,,Hand-Eye Calibration of a Robot- UltraSound Probe System without any 3D Localizers,2015,OpenAlex,https://openalex.org/W4296246814,https://openalex.org/W4296246814,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/embc.2015.7318251,10.1109/embc.2015.7318251,Hand-eye calibration of a robot - UltraSound probe system without any 3D localizers,2015,OpenAlex,https://openalex.org/W2296482359,https://doi.org/10.1109/embc.2015.7318251,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1118/1.4925372,10.1118/1.4925372,MO‐DE‐210‐07: Investigation of Treatment Interferences of a Novel Robotic Ultrasound Radiotherapy Guidance System with Clinical VMAT Plans for Liver SBRT Patients,2015,OpenAlex,https://openalex.org/W1024819418,https://doi.org/10.1118/1.4925372,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1016/j.juro.2015.02.844,10.1016/j.juro.2015.02.844,"MP17-02 DEVELOPING A PROTOTYPE FOR AN AUTOMATED, LOW-COST 3D ULTRASOUND SCANNER FOR DEDICATED UROLOGICAL APPLICATIONS",2015,OpenAlex,https://openalex.org/W2009656811,https://doi.org/10.1016/j.juro.2015.02.844,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.35840/2631-5106/4101,10.35840/2631-5106/4101,Pipeline Inspection for Corrosion using a Mobile Robotic Systems,2015,OpenAlex,https://openalex.org/W2956596924,https://doi.org/10.35840/2631-5106/4101,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1117/12.2082472,10.1117/12.2082472,"Robot-assisted, ultrasound-guided minimally invasive navigation tool for brachytherapy and ablation therapy: initial assessment",2015,OpenAlex,https://openalex.org/W2057380126,https://doi.org/10.1117/12.2082472,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/cyber.2015.7287986,10.1109/cyber.2015.7287986,Robotic ultrasound scanning for deep venous thrombosis detection using RGB-D sensor,2015,OpenAlex,https://openalex.org/W1637225239,https://doi.org/10.1109/cyber.2015.7287986,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1109/isie.2015.7281533,10.1109/isie.2015.7281533,Support and imaging tasks using an ultrasound-based navigation procedure for minimally invasive neck surgery: Experiments and analyses,2015,OpenAlex,https://openalex.org/W1613422527,https://doi.org/10.1109/isie.2015.7281533,conference-paper,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1118/1.4925495,10.1118/1.4925495,"TU‐A‐304‐00: Imaging, Treatment Planning, and QA for Stereotactic Body Radiation Therapy (SBRT)",2015,OpenAlex,https://openalex.org/W1146122904,https://doi.org/10.1118/1.4925495,article,
openalex_legacy,closed_loop_candidate,主动观察式检测,机器人超声,doi:10.1118/1.4925496,10.1118/1.4925496,TU‐A‐304‐01: Introduction and Workflow of Image‐Guided SBRT,2015,OpenAlex,https://openalex.org/W1419925549,https://doi.org/10.1118/1.4925496,article,
