task_code,task_en,task_zh,count_year,year_status,title,doi,pmid,source_dbs,source_ids,url,publication_date,work_type,venue,screening_basis,source_row_id,abstract
A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2005,full year,Robotically assisted ultrasound imaged guided interstitial lung brachytherapy in a porcine model,10.1016/j.ics.2005.03.136,,OpenAlex,W1971887668,https://doi.org/10.1016/j.ics.2005.03.136,2005-05-01,article,International Congress Series,Previously screened title-explicit set,4,
A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2009,full year,Hybrid Laparoscopic and Robotic Ultrasound-guided Radiofrequency Ablation-assisted Clampless Partial Nephrectomy,10.1016/j.urology.2008.08.498,19428068.0,Europe PMC; OpenAlex,MED:19428068; W2012763872,https://doi.org/10.1016/j.urology.2008.08.498,2009-05-10,article,Urology,Previously screened title-explicit set,9,"<h4>Introduction</h4>To describe a clampless approach made possible by creating an avascular plane of tissue with radiofrequency ablation. Laparoscopic partial nephrectomy is slowly gaining acceptance as a method to treat small (<4 cm) and select moderate (<7 cm) renal masses. The intricacies of laparoscopic suturing, which result in prolonged warm ischemia times, have delayed the widespread acceptance of this technique among urologists. Laparoscopic suturing to close the collecting system was done using the da Vinci robot.<h4>Technical considerations</h4>An avascular plane of tissue from coagulation necrosis was achieved with the Habib 4X radiofrequency ablation device and the Rita 1500X generator. Typically, we used a power setting of 50 W but have found settings as low as 25 W necessary to provide hemostasis for larger vessels. The tumor was then sharply excised with a negative margin using robotic scissors and electrocautery to facilitate tissue cutting. Retrograde injection of methylthioninium chloride and saline through an externalized ureteral catheter allowed for precise sutured closure of the collecting system. FloSeal and BioGlue were then applied, making surgical bolsters or parenchymal sutures unnecessary. Intraoperative histologic evaluation of the surgical margin and repeat resection of the tumor bed was possible because the renal hilum was not clamped, and no warm ischemia was used.<h4>Conclusions</h4>This technique, which combines the improving technologies of robotic surgery, intraoperative laparoscopic ultrasonography, and radiofrequency ablation, might make more surgeons comfortable with the intricacies of laparoscopic suturing and eliminate prolonged warm ischemia times. Overall, this method should result in more patients being able to undergo minimally invasive laparoscopic partial nephrectomy."
A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2009,full year,Robotic ultrasound manipulator : calibration of position and orientation measurement system,,,OpenAlex,W1491693950,https://openalex.org/W1491693950,2009-01-01,dissertation,DSpace@MIT (Massachusetts Institute of Technology),Previously screened title-explicit set,10,"Thesis (S.B.)--Massachusetts Institute of Technology, Dept. of Mechanical Engineering, 2009."
A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2009,full year,Robotic ultrasound‐guided prostate intervention device: system description and results from phantom studies,10.1002/rcs.232,19145573.0,Europe PMC; OpenAlex,W2069830404; MED:19145573,https://doi.org/10.1002/rcs.232,2009-01-14,article,International Journal of Medical Robotics and Computer Assisted Surgery,Previously screened title-explicit set,11,"<h4>Background</h4>We introduce the first robotic ultrasound-guided prostate intervention device and evaluate its safety, accuracy and repeatability.<h4>Methods</h4>The robotic positioning system (RPS) determines a target's x, y and z axes. It is situated with a biplane ultrasound probe on a mobile horizontal platform. The integrated software acquires ultrasound images for three-dimensional (3D) modelling, coordinates target planning and directs the RPS.<h4>Results</h4>The egg phantom evaluates the software's safety and workflow protocol. Two random targets are planned in each quadrant and biopsy needles are inserted. All were within three separate eggs. Metal wire tips are targeted and their distances from the biopsy needle tips are measured. With 20 wires, < 1 mm accuracy is obtained. Repeatability is demonstrated when previous positions are returned to with similar accuracy.<h4>Conclusion</h4>Our device demonstrates safety in a defined boundary with a repeatable accuracy of < 1 mm. It can be used for accurate prostate biopsy and treatment delivery."
A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2010,full year,ROBOTIC ULTRASOUND SYSTEM WITH MICROADJUSTMENT AND POSITIONING CONTROL USING FEEDBACK RESPONSIVE TO ACQUIRED IMAGE DATA,,,Europe PMC,PAT:EP2219528; PAT:US2010262008; PAT:WO2009074948,,2008-12-08,,,Previously screened title-explicit set,14,"An imaging system includes a diagnostic ultrasound front end module, the front end module including a transducer, a robotic armature (2), and a controller (4) electrically coupled to each of the front end module and the robotic armature. The controller is configured to employ the robotic armature to move the transducer relative to an anatomical structure, including wherein the controller is operable in a feedback control mode to detect key attributes in an acquired image or data set received from the front end module, calculate a desired adjustment to the position of the transducer based on the key attributes detection, and employ the robotic armature to apply the desired position adjustment."
A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2011,full year,Image-based Approach to Respiratory Gating for Liver Radiotherapy using a Telerobotic Ultrasound System,10.1016/j.ijrobp.2011.06.250,,OpenAlex,W2131704460,https://doi.org/10.1016/j.ijrobp.2011.06.250,2011-10-01,article,International Journal of Radiation Oncology*Biology*Physics,Previously screened title-explicit set,19,
A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2011,full year,In Vivo Tissue Displacement Monitoring for Prostate IGRT Using a Telerobotic Ultrasound System,10.1016/j.ijrobp.2011.06.1427,,OpenAlex,W2111267142,https://doi.org/10.1016/j.ijrobp.2011.06.1427,2011-10-01,article,International Journal of Radiation Oncology*Biology*Physics,Previously screened title-explicit set,20,
A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2011,full year,Localized but Biochemicaly Progressing Prostate Cancer Under Long-Term Hormonal Ablation Treated by Therapeutic High-Intensity Focal Robotic Ultrasound,10.1016/j.ultrasmedbio.2011.05.333,,OpenAlex,W2000037819,https://doi.org/10.1016/j.ultrasmedbio.2011.05.333,2011-07-28,article,Ultrasound in Medicine & Biology,Previously screened title-explicit set,21,
A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2011,full year,Robotic ultrasound volume modeling for breast cancer screening,,,OpenAlex,W1560592916,https://openalex.org/W1560592916,2011-01-01,dissertation,Human Biology,Previously screened title-explicit set,24,"This research proposes the development of a robotic-controlled ultrasound imaging system for breast cancer screening. The system aims to create a 3D volume model of a breast phantom from ultrasound tomograms. Traditional ultrasound imaging systems are large machines that are not easily transportable in and out of doctors' offices. Further, ultrasound images suffer from speckle noise that is inherent in every image and degrades the image resolution of anatomical structures. While a radiologist obtains an ultrasound tomogram, position and orientation of the transducer must be known for accurate 3D volume construction. This is difficult with traditional systems without a tracking system. The proposed work has three specific aims to address these issues. The first aim will develop the software platform for image acquisition through precise robotic control and network communication. The second aim is to perform an analysis and evaluation of wavelet-based thresholding schemes for speckle and multiplicative noise reduction. This work will study the image's multiresolution details, and sparse representations from wavelet coefficients. The third aim will develop an algorithm for constructing a 3D model from 2D ultrasound tomograms positioned by a robotic arm."
A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2012,full year,55 REAL TIME IMAGE GUIDED RADIOTHERAPY FOR PANCREATIC TUMORS – THE CONCEPT OF DUAL MODALITY MONITORING USING KV-CBCT AND ROBOT ASSISTED ULTRASOUND IMAGING,10.1016/s0167-8140(12)70037-3,,OpenAlex,W1990642471,https://doi.org/10.1016/s0167-8140(12)70037-3,2012-03-01,article,Radiotherapy and Oncology,Previously screened title-explicit set,28,
