year,year_status,task_code,task_en,task_zh,publication_records
1995,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
1996,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
1997,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
1998,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
1999,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
2000,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
2001,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
2002,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
2003,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
2004,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
2005,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,1
2006,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
2007,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
2008,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,0
2009,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,3
2010,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,1
2011,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,4
2012,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,2
2013,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,9
2014,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,4
2015,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,4
2016,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,8
2017,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,7
2018,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,7
2019,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,10
2020,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,18
2021,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,20
2022,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,22
2023,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,27
2024,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,45
2025,full year,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,51
2026,YTD through 2026-08-06,A1,Robotic ultrasound / sonography,机器人超声 / 超声扫查,33
1995,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,1
1996,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,0
1997,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,0
1998,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,0
1999,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,0
2000,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,0
2001,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,0
2002,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,2
2003,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,1
2004,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,1
2005,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,0
2006,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,1
2007,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,0
2008,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,1
2009,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索 / 导航,1
