year,year_status,task_code,task_en,task_zh,core_records,expanded_upper_records
1995,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,0
1995,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,1,1
1995,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
1995,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
1995,full year,A5,Robotic auscultation,机器人听诊,0,0
1995,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
1995,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
1996,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,0
1996,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,0,0
1996,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
1996,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
1996,full year,A5,Robotic auscultation,机器人听诊,0,0
1996,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
1996,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
1997,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,0
1997,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,0,0
1997,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
1997,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
1997,full year,A5,Robotic auscultation,机器人听诊,0,0
1997,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
1997,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
1998,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,0
1998,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,0,0
1998,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
1998,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
1998,full year,A5,Robotic auscultation,机器人听诊,0,0
1998,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
1998,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
1999,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,0
1999,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,0,2
1999,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
1999,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
1999,full year,A5,Robotic auscultation,机器人听诊,0,0
1999,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
1999,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2000,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,1
2000,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,0,1
2000,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2000,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2000,full year,A5,Robotic auscultation,机器人听诊,0,0
2000,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2000,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2001,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,1
2001,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,0,2
2001,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2001,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2001,full year,A5,Robotic auscultation,机器人听诊,0,0
2001,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2001,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2002,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,0
2002,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,2,4
2002,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2002,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2002,full year,A5,Robotic auscultation,机器人听诊,0,0
2002,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2002,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2003,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,0
2003,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,1,4
2003,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2003,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2003,full year,A5,Robotic auscultation,机器人听诊,0,0
2003,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2003,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2004,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,1
2004,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,1,5
2004,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2004,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2004,full year,A5,Robotic auscultation,机器人听诊,0,0
2004,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2004,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2005,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,1,2
2005,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,0,2
2005,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2005,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2005,full year,A5,Robotic auscultation,机器人听诊,0,0
2005,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2005,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2006,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,1
2006,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,1,5
2006,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2006,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2006,full year,A5,Robotic auscultation,机器人听诊,0,0
2006,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2006,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2007,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,2
2007,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,0,1
2007,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2007,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2007,full year,A5,Robotic auscultation,机器人听诊,0,0
2007,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2007,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2008,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,0,0
2008,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,1,8
2008,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2008,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2008,full year,A5,Robotic auscultation,机器人听诊,0,0
2008,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2008,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2009,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,3,5
2009,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,1,3
2009,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2009,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2009,full year,A5,Robotic auscultation,机器人听诊,0,0
2009,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2009,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2010,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,1,5
2010,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,1,6
2010,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2010,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2010,full year,A5,Robotic auscultation,机器人听诊,0,0
2010,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2010,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2011,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,4,10
2011,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,1,9
2011,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2011,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2011,full year,A5,Robotic auscultation,机器人听诊,0,0
2011,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2011,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2012,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,2,5
2012,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,1,4
2012,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,1
2012,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2012,full year,A5,Robotic auscultation,机器人听诊,0,0
2012,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2012,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,1
2013,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,9,16
2013,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,0,2
2013,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2013,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2013,full year,A5,Robotic auscultation,机器人听诊,0,0
2013,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2013,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,1,1
2014,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,4,7
2014,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,0,4
2014,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2014,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2014,full year,A5,Robotic auscultation,机器人听诊,0,0
2014,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2014,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,1,1
2015,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,4,11
2015,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,2,11
2015,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2015,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2015,full year,A5,Robotic auscultation,机器人听诊,0,0
2015,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2015,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,1,1
2016,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,8,14
2016,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,3,5
2016,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2016,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2016,full year,A5,Robotic auscultation,机器人听诊,0,0
2016,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2016,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,1,1
2017,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,7,14
2017,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,8,12
2017,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2017,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2017,full year,A5,Robotic auscultation,机器人听诊,0,0
2017,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2017,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,1
2018,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,7,18
2018,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,1,7
2018,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,0
2018,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2018,full year,A5,Robotic auscultation,机器人听诊,0,0
2018,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2018,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2019,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,10,19
2019,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,6,16
2019,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,1
2019,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2019,full year,A5,Robotic auscultation,机器人听诊,0,0
2019,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2019,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2020,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,18,31
2020,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,8,24
2020,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,0,1
2020,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2020,full year,A5,Robotic auscultation,机器人听诊,0,0
2020,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2020,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,1
2021,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,20,35
2021,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,12,32
2021,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,1,2
2021,full year,A4,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,0,0
2021,full year,A5,Robotic auscultation,机器人听诊,0,0
2021,full year,A6,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0
2021,full year,A7,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,0,0
2022,full year,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,22,43
2022,full year,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,13,37
2022,full year,A3,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,1,1
