year,1.1_public_visible,1.1_public_available,1.2_public_visible,1.2_public_available,1.3_public_visible,1.3_public_available,total_public_visible,total_public_available
2007,1,1,0,0,0,0,1,1
2008,0,0,0,0,1,1,1,1
2010,2,2,0,0,2,1,4,3
2012,1,1,0,0,1,0,2,1
2013,6,1,2,0,1,0,9,1
2015,3,3,1,0,4,1,8,4
2016,6,3,1,1,2,2,9,6
2017,9,4,1,0,1,1,11,5
2018,7,3,1,0,1,0,9,3
2019,5,3,1,1,2,1,8,5
2020,13,9,1,0,2,2,16,11
2021,24,15,3,2,3,2,30,19
2022,18,10,2,1,5,1,25,12
2023,30,22,2,2,7,5,39,29
2024,31,21,4,4,8,4,43,29
2025,47,31,4,1,5,2,56,34
2026,39,26,7,6,5,4,51,36
