work_key,title,year,doi,mechanism_codes,task_codes,requires_manual_boundary_adjudication
doi:10.1007/978-3-642-33415-3_6,Remote ultrasound palpation for robotic interventions using absolute elastography.,2012,10.1007/978-3-642-33415-3_6,1.1;1.2,A1;R1;R2,yes
doi:10.1007/s00408-022-00590-7,Shape-Sensing Robotic-Assisted Bronchoscopy with Concurrent use of Radial Endobronchial Ultrasound and Cone Beam Computed Tomography in the Evaluation of Pulmonary Lesions.,2022,10.1007/s00408-022-00590-7,1.1,A1;A3,yes
doi:10.1016/j.jtho.2025.09.519,P2.05.01 The Role of Robotic-Assisted Bronchoscopy and Endobronchial Ultrasound in Diagnosing and Staging Pulmonary Carcinoid,2025,10.1016/j.jtho.2025.09.519,1.1,A1;A3,yes
doi:10.1016/j.jval.2024.03.390,EE90 Diagnostic Yield and Downstream Lung Cancer Treatment Revenue From Shape-Sensing Robotic-Assisted Bronchoscopy Compared to Transthoracic Needle Aspiration Biopsy,2024,10.1016/j.jval.2024.03.390,1.3,S1;S3,yes
doi:10.1016/j.labinv.2025.104575,293 Utility and Performance of Endobronchial Ultrasonography-Guided Fine-Needle Aspiration in the Era of Robotic Bronchoscopy-Guided Cryo-Biopsy for the Evaluation of Pulmonary Lesions,2026,10.1016/j.labinv.2025.104575,1.3,S1;S3,yes
doi:10.1016/s0016-5085(18)32351-5,Su2007 - Image Diagnosis of Magnetically Controlled Robotic Capsule Endoscopy on Patients with small Intestinal Diseases from Large Sample,2018,10.1016/s0016-5085(18)32351-5,1.1,A3;A4,yes
doi:10.1055/s-0034-1376075,Robotic maneuvering of capsule endoscopy: Preliminary tests in an experimental colonic model,2014,10.1055/s-0034-1376075,1.1,A3;A4,yes
doi:10.1055/s-0046-1821199,Robotic Capsule Endoscopy: Simultaneous Gastric and Enteric Evaluation in Real-World Practice,2026,10.1055/s-0046-1821199,1.1,A3;A4,yes
doi:10.1093/ajrccm/aamag162.3544,C78-04 Needle-based Confocal Laser Endomicroscopy-assisted Lung Nodule Biopsy Using the ION Robotic Bronchoscopy Platform - A Case Report,2026,10.1093/ajrccm/aamag162.3544,1.3,S1;S3,yes
doi:10.1093/annalsats/aaoag142,Robotic Assisted Bronchoscopy with Endobronchial Ultrasound for the Evaluation of Multiple Pulmonary Nodules: A Multi-Center Registry.,2026,10.1093/annalsats/aaoag142,1.1,A1;A3,yes
doi:10.1097/lbr.0000000000001058,Accuracy of Rapid On-Site Evaluation in Robotic-Assisted Bronchoscopy Fine Needle Aspirations of Lung Nodules.,2026,10.1097/lbr.0000000000001058,1.1;1.3,A3;S1,yes
doi:10.1097/mca.0000000000001274,Safety and feasibility of intravascular ultrasound-guided robotic percutaneous coronary intervention.,2023,10.1097/mca.0000000000001274,1.1,A1;A5,yes
doi:10.1109/access.2026.3693588,Curiosity-Driven Reinforcement Learning for Autonomous Navigation in Magnetically Controlled Capsule Endoscopy,2026,10.1109/access.2026.3693588,1.1,A3;A4,yes
doi:10.1109/biorob49111.2020.9224276,Robotic assistance for ultrasound elastography providing autonomous palpation with teleoperation and haptic feedback capabilities,2020,10.1109/biorob49111.2020.9224276,1.1;1.2,A1;R1;R2,yes
doi:10.1109/icra.2017.7989440,A robotic control framework for 3-D quantitative ultrasound elastography,2017,10.1109/icra.2017.7989440,1.1;1.2,A1;R2,yes
doi:10.1109/irc.2018.00083,Simulation Study of Autonomous Drive for Active Capsule Endoscopy,2018,10.1109/irc.2018.00083,1.1,A3;A4,yes
doi:10.1109/ist.2016.7738202,Robotic validation of visual odometry for wireless capsule endoscopy,2016,10.1109/ist.2016.7738202,1.1,A3;A4,yes
doi:10.1109/jsen.2024.3391797,Implementing an Autonomous Navigation System for Active Wireless Capsule Endoscopy,2024,10.1109/jsen.2024.3391797,1.1,A3;A4,yes
doi:10.1109/jsen.2025.11235502,In vivo validation of Wireless Power Transfer System for Magnetically Controlled Robotic Capsule Endoscopy,2025,10.1109/jsen.2025.11235502,1.1,A3;A4,yes
doi:10.1109/jsen.2025.3628016,In Vivo Validation of Wireless Power Transfer System for Magnetically Controlled Robotic Capsule Endoscopy,2025,10.1109/jsen.2025.3628016,1.1,A3;A4,yes
doi:10.1109/lra.2022.3141378,Autonomous Magnetic Navigation Framework for Active Wireless Capsule Endoscopy Inspired by Conventional Colonoscopy Procedures,2022,10.1109/lra.2022.3141378,1.1,A3;A4,yes
